code,name,category
ES-AN,Andalucía,autonomous community
ES-AR,Aragón,autonomous community
ES-AS,"Asturias, Principado de",autonomous community
ES-CN,Canarias,autonomous community
ES-CB,Cantabria,autonomous community
ES-CM,Castilla-La Mancha,autonomous community
ES-CL,Castilla y León,autonomous community
ES-CT,Catalunya (ca) [Cataluña],autonomous community
ES-EX,Extremadura,autonomous community
ES-GA,Galicia (gl) [Galicia],autonomous community
ES-IB,Illes Balears (ca) [Islas Baleares],autonomous community
ES-RI,La Rioja,autonomous community
ES-MD,"Madrid, Comunidad de",autonomous community
ES-MC,"Murcia, Región de",autonomous community
ES-NC,"Navarra, Comunidad Foral de Nafarroako",autonomous community
ES-PV,"País Vasco Euskal Herria (eu)",autonomous community
ES-VC,"Valenciana, Comunidad",autonomous community
ES-CE,Ceuta,autonomous city in North Africa
ES-ML,Melilla,autonomous city in North Africa
