code,name,category
GB-ENG,England,country
GB-NIR,Northern Ireland,province
GB-SCT,Scotland,country
GB-WLS,Wales [Cymru GB-CYM],country
GB-EAW,England and Wales,nation
GB-GBN,Great Britain,nation
GB-UKM,United Kingdom,nation
GB-BKM,Buckinghamshire,two-tier county
GB-CAM,Cambridgeshire,two-tier county
GB-CMA,Cumbria,two-tier county
GB-DBY,Derbyshire,two-tier county
GB-DEV,Devon,two-tier county
GB-DOR,Dorset,two-tier county
GB-ESX,East Sussex,two-tier county
GB-ESS,Essex,two-tier county
GB-GLS,Gloucestershire,two-tier county
GB-HAM,Hampshire,two-tier county
GB-HRT,Hertfordshire,two-tier county
GB-KEN,Kent,two-tier county
GB-LAN,Lancashire,two-tier county
GB-LEC,Leicestershire,two-tier county
GB-LIN,Lincolnshire,two-tier county
GB-NFK,Norfolk,two-tier county
GB-NYK,North Yorkshire,two-tier county
GB-NTH,Northamptonshire,two-tier county
GB-NTT,Nottinghamshire,two-tier county
GB-OXF,Oxfordshire,two-tier county
GB-SOM,Somerset,two-tier county
GB-STS,Staffordshire,two-tier county
GB-SFK,Suffolk,two-tier county
GB-SRY,Surrey,two-tier county
GB-WAR,Warwickshire,two-tier county
GB-WSX,West Sussex,two-tier county
GB-WOR,Worcestershire,two-tier county
GB-LND,"London, City of",city corporation
GB-BDG,Barking and Dagenham,London borough
GB-BNE,Barnet,London borough
GB-BEX,Bexley,London borough
GB-BEN,Brent,London borough
GB-BRY,Bromley,London borough
GB-CMD,Camden,London borough
GB-CRY,Croydon,London borough
GB-EAL,Ealing,London borough
GB-ENF,Enfield,London borough
GB-GRE,Greenwich,London borough
GB-HCK,Hackney,London borough
GB-HMF,Hammersmith and Fulham,London borough
GB-HRY,Haringey,London borough
GB-HRW,Harrow,London borough
GB-HAV,Havering,London borough
GB-HIL,Hillingdon,London borough
GB-HNS,Hounslow,London borough
GB-ISL,Islington,London borough
GB-KEC,Kensington and Chelsea,London borough
GB-KTT,Kingston upon Thames,London borough
GB-LBH,Lambeth,London borough
GB-LEW,Lewisham,London borough
GB-MRT,Merton,London borough
GB-NWM,Newham,London borough
GB-RDB,Redbridge,London borough
GB-RIC,Richmond upon Thames,London borough
GB-SWK,Southwark,London borough
GB-STN,Sutton,London borough
GB-TWH,Tower Hamlets,London borough
GB-WFT,Waltham Forest,London borough
GB-WND,Wandsworth,London borough
GB-WSM,Westminster,London borough
GB-BNS,Barnsley,metropolitan district
GB-BIR,Birmingham,metropolitan district
GB-BOL,Bolton,metropolitan district
GB-BRD,Bradford,metropolitan district
GB-BUR,Bury,metropolitan district
GB-CLD,Calderdale,metropolitan district
GB-COV,Coventry,metropolitan district
GB-DNC,Doncaster,metropolitan district
GB-DUD,Dudley,metropolitan district
GB-GAT,Gateshead,metropolitan district
GB-KIR,Kirklees,metropolitan district
GB-KWL,Knowsley,metropolitan district
GB-LDS,Leeds,metropolitan district
GB-LIV,Liverpool,metropolitan district
GB-MAN,Manchester,metropolitan district
