code,name,category
IT-65,Abruzzo,subdivision
IT-77,Basilicata,subdivision
IT-78,Calabria,subdivision
IT-72,Campania,subdivision
IT-45,Emilia-Romagna,subdivision
IT-36,Friuli-Venezia Giulia,subdivision
IT-62,Lazio,subdivision
IT-42,Liguria,subdivision
IT-25,Lombardia,subdivision
IT-57,Marche,subdivision
IT-67,Molise,subdivision
IT-21,Piemonte,subdivision
IT-75,Puglia,subdivision
IT-88,Sardegna,subdivision
IT-82,Sicilia,subdivision
IT-52,Toscana,subdivision
IT-32,"Trentino-Alto Adige, Trentino-Südtirol (de)",subdivision
IT-55,Umbria,subdivision
IT-23,"Valle dAosta",subdivision
IT-34,Veneto,subdivision
